75 1 0.977825
238 1 -0.009791
295 1 -0.083884
421 1 -0.686210
518 1 -0.191092
779 1 -0.692860
818 1 -0.152487
1012 1 -0.953046
1035 1 2.822633
1045 1 -1.050394
1386 1 0.190964
1442 1 -0.962248
1633 1 -0.130064
1716 1 -0.883107
1734 1 -0.289680
1781 1 0.545934
1832 1 0.842241
1864 1 0.788114
1880 1 0.135175
2015 1 -0.330020
2107 1 -1.879170
2179 1 -0.421808
2187 1 0.246844
2288 1 0.700437
2329 1 1.232091
2634 1 -0.454657
2941 1 0.807226
2952 1 -0.005029
3031 1 -0.493388
3148 1 -2.164835
3177 1 0.418484
3241 1 -1.741530
3299 1 -2.592177
3370 1 -0.505771
3465 1 0.651810
3518 1 -0.902951
3621 1 -0.430051
3721 1 -1.029829
3791 1 -1.347062
3804 1 0.772940
3848 1 -0.728323
3898 1 -0.286508
4420 1 0.248074
4454 1 -0.853522
4514 1 -1.642941
4555 1 -2.083342
4557 1 0.155755
4832 1 -0.762951
158 2 0.209926
180 2 -0.064779
188 2 1.426220
288 2 -0.565015
373 2 0.230828
796 2 0.163357
997 2 0.175349
1119 2 1.919757
1126 2 0.306033
1154 2 -0.785500
1265 2 1.520707
1284 2 0.926685
1503 2 0.882613
1777 2 2.036221
1867 2 -0.230093
1917 2 -0.612196
2007 2 -0.557604
2098 2 1.159038
2168 2 -0.351060
2347 2 0.994675
2429 2 1.720046
2860 2 -0.504209
3043 2 0.471244
3069 2 0.623365
3094 2 -0.840708
3097 2 0.041625
3152 2 -0.502073
3211 2 -0.271551
3283 2 0.569080
3379 2 0.193536
3426 2 0.996944
3745 2 -0.412550
3756 2 -1.297820
3862 2 -0.170691
3873 2 0.599362
3975 2 0.334811
4051 2 0.029646
4298 2 -0.735757
4372 2 -1.257476
4463 2 -0.193224
4489 2 0.498216
4572 2 -0.040018
4579 2 0.303419
4615 2 0.806225
4646 2 -0.198707
4736 2 -0.436828
4942 2 -0.489692
4963 2 -0.252918
4972 2 0.152573
70 3 -1.372973
